t,v
2016-03-27T00:00:00Z,10646
2016-03-28T00:00:00Z,10791
2016-03-29T00:00:00Z,12247
2016-03-30T00:00:00Z,12342
2016-03-31T00:00:00Z,11282
2016-04-01T00:00:00Z,10943
2016-04-02T00:00:00Z,10753
2016-04-03T00:00:00Z,10808
2016-04-04T00:00:00Z,11653
2016-04-05T00:00:00Z,12088
2016-04-06T00:00:00Z,11866
2016-04-07T00:00:00Z,11746
2016-04-08T00:00:00Z,11561
2016-04-09T00:00:00Z,11973
2016-04-10T00:00:00Z,12823
2016-04-11T00:00:00Z,12055
2016-04-12T00:00:00Z,12593
2016-04-13T00:00:00Z,12899
2016-04-14T00:00:00Z,12314
2016-04-15T00:00:00Z,11835
2016-04-16T00:00:00Z,11883
2016-04-17T00:00:00Z,12504
2016-04-18T00:00:00Z,12483
2016-04-19T00:00:00Z,12426
2016-04-20T00:00:00Z,12673
2016-04-21T00:00:00Z,12669
2016-04-22T00:00:00Z,12799
2016-04-23T00:00:00Z,12583
2016-04-24T00:00:00Z,12690
2016-04-25T00:00:00Z,13177
2016-04-26T00:00:00Z,13364
2016-04-27T00:00:00Z,13224
2016-04-28T00:00:00Z,12983
2016-04-29T00:00:00Z,14976
2016-04-30T00:00:00Z,19611
2016-05-01T00:00:00Z,14479
2016-05-02T00:00:00Z,17567
2016-05-03T00:00:00Z,14860
2016-05-04T00:00:00Z,14505
2016-05-05T00:00:00Z,14744
2016-05-06T00:00:00Z,14554
2016-05-07T00:00:00Z,14178
2016-05-08T00:00:00Z,14755
2016-05-09T00:00:00Z,15260
2016-05-10T00:00:00Z,15268
2016-05-11T00:00:00Z,16717
2016-05-12T00:00:00Z,17089
2016-05-13T00:00:00Z,18465
2016-05-14T00:00:00Z,16621
2016-05-15T00:00:00Z,16064
2016-05-16T00:00:00Z,15238
2016-05-17T00:00:00Z,16863
2016-05-18T00:00:00Z,19489
2016-05-19T00:00:00Z,18314
2016-05-20T00:00:00Z,17280
2016-05-21T00:00:00Z,16620
2016-05-22T00:00:00Z,15530
2016-05-23T00:00:00Z,18092
2016-05-24T00:00:00Z,17235
2016-05-25T00:00:00Z,17693
2016-05-26T00:00:00Z,24287
2016-05-27T00:00:00Z,19744
2016-05-28T00:00:00Z,25544
2016-05-29T00:00:00Z,18706
2016-05-30T00:00:00Z,17487
2016-05-31T00:00:00Z,18200
2016-06-01T00:00:00Z,17471
2016-06-02T00:00:00Z,17310
2016-06-03T00:00:00Z,16840
2016-06-04T00:00:00Z,16484
2016-06-05T00:00:00Z,16415
2016-06-06T00:00:00Z,17397
2016-06-07T00:00:00Z,17181
2016-06-08T00:00:00Z,17766
2016-06-09T00:00:00Z,17185
2016-06-10T00:00:00Z,17659
2016-06-11T00:00:00Z,14553
2016-06-12T00:00:00Z,18465
2016-06-13T00:00:00Z,21140
2016-06-14T00:00:00Z,21319
2016-06-15T00:00:00Z,19187
2016-06-16T00:00:00Z,17828
2016-06-17T00:00:00Z,26354
2016-06-18T00:00:00Z,24486
2016-06-19T00:00:00Z,21456
