t,v
2009-11-04T00:00:00Z,3116022.61329403
2009-11-05T00:00:00Z,2932104.53292452
2009-11-06T00:00:00Z,3000732.15708635
2009-11-07T00:00:00Z,3478645.21814255
2009-11-08T00:00:00Z,3519437.53909705
2009-11-09T00:00:00Z,3188653.87093556
2009-11-10T00:00:00Z,3900061.10838436
2009-11-11T00:00:00Z,3160715.06369083
2009-11-12T00:00:00Z,3305323.41665792
2009-11-13T00:00:00Z,3989380.73193387
2009-11-14T00:00:00Z,3976774.96025597
2009-11-15T00:00:00Z,4670875.46067925
2009-11-16T00:00:00Z,4844717.91555127
2009-11-17T00:00:00Z,4545043.4934321
2009-11-18T00:00:00Z,3927520.41745089
2009-11-19T00:00:00Z,3501685.46576906
2009-11-20T00:00:00Z,4284505.13230484
2009-11-21T00:00:00Z,3597001.23453221
2009-11-22T00:00:00Z,5287587.059105
2009-11-23T00:00:00Z,4762374.51103052
2009-11-24T00:00:00Z,4656958.16217603
2009-11-25T00:00:00Z,4482276.65719686
2009-11-26T00:00:00Z,4157282.07305662
2009-11-27T00:00:00Z,3646191.56221965
2009-11-28T00:00:00Z,3528612.33529276
2009-11-29T00:00:00Z,2989605.76533098
2009-11-30T00:00:00Z,3726157.00817823
2009-12-01T00:00:00Z,3607015.54948633
2009-12-02T00:00:00Z,4651124.69556001
2009-12-03T00:00:00Z,4518369.87947256
2009-12-04T00:00:00Z,1729014.18665712
2009-12-05T00:00:00Z,3214269.59171169
2009-12-06T00:00:00Z,5163485.63160782
2009-12-07T00:00:00Z,5506557.42701787
2009-12-08T00:00:00Z,5242940.95308958
2009-12-09T00:00:00Z,4767881.54693679
2009-12-10T00:00:00Z,5129673.72307268
2009-12-11T00:00:00Z,5694220.23665333
2009-12-12T00:00:00Z,5376529.52658412
2009-12-13T00:00:00Z,5649772.93359334
2009-12-14T00:00:00Z,5087996.37862071
2009-12-15T00:00:00Z,5511121.50992698
2009-12-16T00:00:00Z,6678430.33346672
2009-12-17T00:00:00Z,8335624.07294609
2009-12-18T00:00:00Z,11179505.5772145
2009-12-19T00:00:00Z,9904421.38582127
2009-12-20T00:00:00Z,8794880.43435017
2009-12-21T00:00:00Z,8575429.8649142
2009-12-22T00:00:00Z,8103617.49749013
2009-12-23T00:00:00Z,7580801.87488825
2009-12-24T00:00:00Z,7675814.82632007
2009-12-25T00:00:00Z,7491894.39239514
2009-12-26T00:00:00Z,8550719.22452202
2009-12-27T00:00:00Z,8405516.55219613
2009-12-28T00:00:00Z,5879284.18249036
2009-12-29T00:00:00Z,8360723.6420928
2009-12-30T00:00:00Z,7930568.77364936
2009-12-31T00:00:00Z,8201663.98831553
2010-01-01T00:00:00Z,5948447.36110698
2010-01-02T00:00:00Z,5272978.53069775
2010-01-03T00:00:00Z,10918642.534864
2010-01-04T00:00:00Z,10626972.4655993
2010-01-05T00:00:00Z,11601489.2886101
2010-01-06T00:00:00Z,9594317.43095381
2010-01-07T00:00:00Z,9061630.2773436
2010-01-08T00:00:00Z,8987590.95587913
2010-01-09T00:00:00Z,8914633.92399623
2010-01-10T00:00:00Z,11163642.2112479
2010-01-11T00:00:00Z,9348500.2000573
2010-01-12T00:00:00Z,10332583.633628
2010-01-13T00:00:00Z,10608924.1030724
2010-01-14T00:00:00Z,9509692.85825823
2010-01-15T00:00:00Z,8925274.80062274
2010-01-16T00:00:00Z,8116043.23928466
2010-01-17T00:00:00Z,8509556.16417861
2010-01-18T00:00:00Z,8131868.20956356
2010-01-19T00:00:00Z,8082009.06556788
2010-01-20T00:00:00Z,10157956.8682745
2010-01-21T00:00:00Z,11405795.9270926
2010-01-22T00:00:00Z,8573696.56702827
2010-01-23T00:00:00Z,10421128.1552119
2010-01-24T00:00:00Z,9993408.81094251
2010-01-25T00:00:00Z,13831564.2885242
2010-01-26T00:00:00Z,13069426.2447149
2010-01-27T00:00:00Z,10855868.2766394
2010-01-28T00:00:00Z,11815012.0239479
2010-01-29T00:00:00Z,13161759.0983156
2010-01-30T00:00:00Z,14077381.4858044
2010-01-31T00:00:00Z,11015904.7308865
2010-02-01T00:00:00Z,12354550.4562281
2010-02-02T00:00:00Z,9728229.48356918
2010-02-03T00:00:00Z,17533334.2827323
2010-02-04T00:00:00Z,15207146.2882458
2010-02-05T00:00:00Z,20281318.3303582
2010-02-06T00:00:00Z,17310973.8583843
2010-02-07T00:00:00Z,19804811.6946759
2010-02-08T00:00:00Z,17797657.6414118
2010-02-09T00:00:00Z,18524832.715018
2010-02-10T00:00:00Z,15221952.087873
2010-02-11T00:00:00Z,15153131.8553294
2010-02-12T00:00:00Z,16698436.781574
2010-02-13T00:00:00Z,20951526.1197296
2010-02-14T00:00:00Z,18767737.5548916
2010-02-15T00:00:00Z,22069477.8424213
2010-02-16T00:00:00Z,24429405.2375877
2010-02-17T00:00:00Z,30141677.4198906
2010-02-18T00:00:00Z,26191925.130483
2010-02-19T00:00:00Z,24024736.0001885
2010-02-20T00:00:00Z,26140381.7406723
2010-02-21T00:00:00Z,27882840.92169
2010-02-22T00:00:00Z,32838938.1929377
2010-02-23T00:00:00Z,31125081.6119804
2010-02-24T00:00:00Z,27306691.9278735
2010-02-25T00:00:00Z,28976217.9685209
2010-02-26T00:00:00Z,32403970.8032457
2010-02-27T00:00:00Z,32635289.8223106
2010-02-28T00:00:00Z,29308388.7453478
